gene_id,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00004689,1595,1777,881,1597,785,1914,1172,700
ENSG00004690,0,2,0,0,1,0,0,0
ENSG00004691,1050,910,786,1828,780,417,849,1067
ENSG00004692,6,5,6,2,13,7,9,7
ENSG00004693,202,224,66,97,62,80,102,94
ENSG00004694,9,57,51,16,24,44,20,11
ENSG00004695,1,1,6,4,6,1,5,1
ENSG00004696,9,8,13,12,33,14,21,31
ENSG00004697,32,50,20,58,45,49,20,86
ENSG00004698,4688,9633,6360,5948,5369,4534,4662,4424
ENSG00004699,50,22,32,31,43,46,63,81
ENSG00004700,71,41,61,55,60,140,111,61
ENSG00004701,1,1,0,1,0,0,1,1
ENSG00004702,19,6,21,29,51,19,41,13
ENSG00004703,209,280,529,408,297,1087,487,977
ENSG00004704,1,0,0,0,0,1,0,0
ENSG00004705,34,79,18,35,19,18,22,41
ENSG00004706,69,61,149,73,25,65,129,73
ENSG00004707,139,178,140,416,115,310,177,389
ENSG00004708,50,57,71,31,62,25,52,52
ENSG00004709,11,59,11,54,22,50,38,19
ENSG00004710,13751,28488,13720,19816,22481,16005,25699,24844
ENSG00004711,3802,3173,2650,4080,3285,3412,4671,3341
ENSG00004712,0,0,0,1,1,0,0,0
ENSG00004713,1456,949,1063,2288,645,1057,1198,1665
ENSG00004714,211,145,67,235,219,238,86,272
ENSG00004715,159,171,256,191,246,110,253,191
ENSG00004716,3,11,3,4,3,6,3,3
ENSG00004717,61,68,55,50,69,81,66,68
ENSG00004718,76,143,110,139,87,91,72,88
ENSG00004719,3,0,5,1,1,1,0,4
ENSG00004720,11,10,3,0,1,3,6,10
ENSG00004721,0,0,1,0,0,0,0,2
ENSG00004722,178,157,98,101,149,89,56,138
ENSG00004723,13,5,6,7,6,5,5,0
ENSG00004724,161,172,263,371,236,379,94,186
ENSG00004725,162,186,145,130,179,93,71,257
ENSG00004726,8,18,6,7,8,7,5,9
ENSG00004727,8844,12162,9076,5348,10712,10012,10005,7305
ENSG00004728,41,67,64,78,41,170,87,36
ENSG00004729,956,1153,1336,844,430,471,544,634
ENSG00004730,52,50,222,230,121,214,166,210
ENSG00004731,4,3,3,5,0,1,3,1
ENSG00004732,642,605,1225,1303,654,664,486,1133
ENSG00004733,2653,1898,2493,2129,2230,2941,1283,1974
ENSG00004734,1,3,2,1,0,0,1,2
ENSG00004735,517,860,820,1406,521,1187,663,981
ENSG00004736,597,561,318,785,636,935,532,1188
ENSG00004737,2,1,13,2,1,2,0,10
ENSG00004738,1220,1225,609,867,593,441,508,878
ENSG00004739,205,626,395,628,382,525,195,494
ENSG00004740,68,32,40,98,38,54,56,29
ENSG00004741,4,7,5,4,3,0,3,0
ENSG00004742,0,0,3,0,2,2,1,1
ENSG00004743,65,41,18,34,98,23,52,92
ENSG00004744,2445,5001,4424,2012,2704,3414,2963,2250
ENSG00004745,1355,1012,1307,2513,673,1725,1396,748
ENSG00004746,60,24,53,13,46,27,26,108
ENSG00004747,3,4,0,8,10,3,0,14
ENSG00004748,49,15,7,41,21,5,15,32
ENSG00004749,1683,3281,2151,2543,3515,2128,2257,2812
ENSG00004750,0,0,0,1,1,0,0,2
ENSG00004751,11,14,18,12,8,25,4,10
ENSG00004752,17,42,22,50,20,50,76,38
ENSG00004753,48,9,3,30,21,54,42,36
ENSG00004754,40,7,7,23,19,29,24,24
ENSG00004755,4824,3893,3252,2979,3273,6287,2773,2703
ENSG00004756,1,0,4,5,10,4,3,4
ENSG00004757,390,374,242,242,519,255,133,229
ENSG00004758,1,22,11,10,10,1,22,18
ENSG00004759,8,29,21,10,16,10,11,19
ENSG00004760,38,27,44,63,10,71,30,110
ENSG00004761,14,25,37,10,11,26,8,25
ENSG00004762,225,301,466,298,315,501,464,233
ENSG00004763,10,49,47,15,22,16,47,18
ENSG00004764,4,6,1,1,0,4,4,13
ENSG00004765,14847,16344,4837,4641,8502,9027,7374,7749
ENSG00004766,318,716,607,800,764,861,724,404
ENSG00004767,25,38,33,12,40,22,34,24
ENSG00004768,6,8,9,5,9,9,2,4
ENSG00004769,149,71,27,81,129,111,113,97
ENSG00004770,13,33,12,7,13,9,13,20
ENSG00004771,3,1,4,4,9,5,4,9
ENSG00004772,13,5,0,2,3,1,0,3
ENSG00004773,0,0,0,1,0,1,1,0
ENSG00004774,39,11,39,17,30,110,39,107
ENSG00004775,0,0,0,4,0,0,0,0
ENSG00004776,21,50,87,115,134,176,75,272
ENSG00004777,90,64,36,75,58,37,36,54
ENSG00004778,3,4,11,12,5,0,9,12
ENSG00004779,14795,34865,31656,21115,20648,11303,24108,14354
ENSG00004780,16,24,13,34,13,4,7,19
ENSG00004781,0,9,2,6,2,0,1,0
ENSG00004782,0,0,1,1,0,0,1,0
ENSG00004783,112,48,28,26,30,69,64,41
ENSG00004784,8,7,12,10,20,15,13,4
ENSG00004785,125,100,201,124,88,70,216,162
ENSG00004786,134,37,127,69,63,113,102,150
ENSG00004787,1954,1348,2387,1649,3052,2177,2210,2239
ENSG00004788,0,2,0,3,2,1,1,0
ENSG00004789,6,1,6,3,1,11,3,16
ENSG00004790,721,891,688,1380,613,1486,439,1297
ENSG00004791,2,0,0,1,3,0,0,2
ENSG00004792,161,229,148,156,78,172,182,340
ENSG00004793,248,247,234,276,294,284,208,335
ENSG00004794,5,4,3,1,1,1,8,5
ENSG00004795,1,0,1,1,1,2,1,0
ENSG00004796,65,75,16,78,29,11,90,30
ENSG00004797,86,26,90,60,31,78,204,81
ENSG00004798,0,3,0,0,3,0,4,0
ENSG00004799,39,88,101,132,63,109,97,106
ENSG00004800,99,171,79,134,117,184,127,141
ENSG00004801,0,0,0,1,2,0,1,0
ENSG00004802,1,0,5,1,1,9,0,2
ENSG00004803,73,181,59,71,128,160,87,182
ENSG00004804,181,182,141,237,184,327,194,289
ENSG00004805,3,2,1,1,1,1,2,1
ENSG00004806,465,523,500,703,1319,949,594,575
ENSG00004807,12,43,27,16,20,9,11,27
ENSG00004808,631,536,648,481,599,644,518,223
ENSG00004809,68,51,107,105,96,37,74,126
ENSG00004810,124,199,183,135,109,149,116,168
ENSG00004811,525,764,346,1115,587,622,502,523
ENSG00004812,26,18,3,14,41,10,16,29
ENSG00004813,91,266,193,226,220,387,229,228
ENSG00004814,15,9,7,12,15,22,19,6
ENSG00004815,83,48,30,83,69,108,30,67
ENSG00004816,1929,1365,1423,1235,1403,1362,949,1980
ENSG00004817,21,53,21,39,52,32,50,63
ENSG00004818,270,263,506,423,138,335,314,468
ENSG00004819,0,4,2,4,1,1,1,2
ENSG00004820,86,242,63,111,79,134,41,115
ENSG00004821,398,837,463,609,1116,483,497,258
ENSG00004822,1,2,1,3,2,3,1,1
ENSG00004823,11,7,0,2,7,2,11,6
ENSG00004824,76,77,93,38,61,98,118,88
ENSG00004825,2,0,1,1,0,0,1,1
ENSG00004826,20,23,27,15,19,6,14,7
ENSG00004827,2,7,23,27,18,46,12,9
ENSG00004828,141,261,181,206,139,428,370,313
ENSG00004829,57,61,72,114,74,54,80,48
ENSG00004830,6133,8518,8346,16204,5158,7966,11287,6442
ENSG00004831,255,586,269,647,328,541,766,495
ENSG00004832,171,81,66,220,94,117,205,188
ENSG00004833,4950,3522,3829,5425,4858,2401,4331,4474
ENSG00004834,18,34,33,20,75,20,30,41
ENSG00004835,250,473,46,134,185,245,130,207
ENSG00004836,287,762,356,731,305,743,426,671
ENSG00004837,49,72,42,135,95,22,75,69
ENSG00004838,8,4,3,18,9,18,10,27
ENSG00004839,22,11,12,10,10,21,6,23
ENSG00004840,1612,2526,1227,2702,2403,661,1462,858
ENSG00004841,58,80,7,144,37,37,34,44
ENSG00004842,61,75,92,54,27,57,26,45
ENSG00004843,2480,4125,1752,1541,2325,2058,3032,3698
ENSG00004844,2,2,0,1,3,2,3,3
ENSG00004845,480,454,114,542,239,307,566,294
ENSG00004846,1,4,0,4,2,6,1,0
ENSG00004847,13,14,21,14,13,13,23,62
ENSG00004848,9,19,8,4,4,14,7,20
ENSG00004849,4,0,0,0,5,4,6,3
ENSG00004850,2,2,1,0,0,0,1,1
ENSG00004851,6,7,1,5,6,7,17,11
ENSG00004852,257,306,224,270,149,421,182,193
ENSG00004853,12703,14584,7902,9379,13597,11895,12034,23423
ENSG00004854,60,56,67,65,54,34,38,119
ENSG00004855,197,68,126,313,54,106,162,109
ENSG00004856,33,36,26,11,13,20,51,37
ENSG00004857,0,0,2,1,0,2,1,0
ENSG00004858,32,40,12,58,45,90,28,55
ENSG00004859,230,170,198,72,135,197,228,187
ENSG00004860,4,0,1,1,1,2,3,1
ENSG00004861,3951,3522,2695,3559,7177,3160,4902,2937
ENSG00004862,469,420,263,301,321,252,482,462
ENSG00004863,182,93,37,161,110,78,192,129
ENSG00004864,6662,9034,2702,7192,3227,6828,3774,8517
ENSG00004865,231,551,69,230,311,158,113,349
ENSG00004866,1,5,1,5,0,2,2,1
ENSG00004867,768,750,590,843,2365,826,1369,1425
ENSG00004868,1,1,0,0,0,1,0,0
ENSG00004869,341,654,553,824,357,277,292,848
ENSG00004870,13,12,3,11,4,5,1,22
ENSG00004871,22,21,11,9,29,30,5,16
ENSG00004872,229,280,211,285,233,367,273,293
ENSG00004873,44362,40842,46107,43633,26454,57504,55306,68729
ENSG00004874,235,204,115,183,130,90,172,151
ENSG00004875,4,3,34,29,3,22,11,15
ENSG00004876,48,32,60,25,29,82,57,30
ENSG00004877,58126,66094,63866,72115,71102,47140,53270,80719
ENSG00004878,6,4,4,8,3,10,1,5
ENSG00004879,3,1,2,3,3,4,2,0
ENSG00004880,33,111,173,62,23,89,94,104
ENSG00004881,49,118,98,77,103,66,62,65
ENSG00004882,2088,3768,2146,3245,1389,1177,1222,2552
ENSG00004883,1450,1510,1427,939,2574,1057,1250,1185
ENSG00004884,895,686,827,291,710,505,473,756
ENSG00004885,0,1,1,0,1,1,3,0
ENSG00004886,48,39,101,77,28,142,144,82
ENSG00004887,5,5,20,5,9,10,6,5
ENSG00004888,30,12,9,7,14,13,26,6
ENSG00004889,0,0,0,2,2,1,0,0
ENSG00004890,27,14,5,6,6,21,18,25
ENSG00004891,566,269,187,158,595,501,579,633
ENSG00004892,68,51,13,38,46,85,23,65
ENSG00004893,769,523,490,440,813,473,365,818
ENSG00004894,2,1,3,7,4,0,4,1
ENSG00004895,14,82,92,208,25,37,35,62
ENSG00004896,2,0,0,1,1,0,0,0
ENSG00004897,0,0,2,4,2,3,1,7
ENSG00004898,974,2424,1623,1375,2084,2416,1013,2295
ENSG00004899,17,25,6,5,11,14,34,13
ENSG00004900,574,230,121,175,128,186,124,201
ENSG00004901,46,34,6,95,81,27,17,35
ENSG00004902,43,79,22,18,6,5,59,10
ENSG00004903,7,52,26,41,41,52,98,71
ENSG00004904,1,0,0,0,0,1,0,0
ENSG00004905,1,3,0,2,1,4,2,0
ENSG00004906,746,384,811,822,831,1122,1501,550
ENSG00004907,67,123,33,62,63,47,62,63
ENSG00004908,439,276,324,397,396,542,123,683
ENSG00004909,77,36,32,27,46,47,86,56
ENSG00004910,1,0,0,1,2,0,1,1
ENSG00004911,1927,2030,1212,1968,1179,2225,861,1253
ENSG00004912,60,54,32,92,72,27,37,104
ENSG00004913,1184,2211,1212,3251,1537,2159,1276,1057
ENSG00004914,1005,1256,1319,724,1639,1165,779,3810
ENSG00004915,69,275,363,186,226,202,166,339
ENSG00004916,2,0,1,2,0,1,0,0
ENSG00004917,320,633,385,650,359,405,208,227
ENSG00004918,26,73,40,24,65,16,11,26
ENSG00004919,37,67,31,54,17,29,7,33
ENSG00004920,38,46,10,112,36,18,77,66
ENSG00004921,1,2,0,0,0,0,0,0
ENSG00004922,128,83,117,237,148,192,96,182
ENSG00004923,144,269,132,400,204,227,127,244
ENSG00004924,17,28,15,37,42,20,31,26
ENSG00004925,16,35,27,29,12,24,27,21
ENSG00004926,7,7,11,5,5,26,4,25
ENSG00004927,7,5,5,1,2,10,6,6
ENSG00004928,238,129,307,376,198,237,268,341
ENSG00004929,81,25,11,119,18,66,36,82
ENSG00004930,30231,13918,24042,16274,10343,22499,21864,34994
ENSG00004931,3,4,3,3,4,2,3,9
ENSG00004932,254,365,349,242,376,578,271,751
ENSG00004933,7,48,17,8,10,31,22,70
ENSG00004934,2117,5705,3864,2406,4141,4397,7272,9840
ENSG00004935,40,79,16,36,20,60,43,37
ENSG00004936,75,119,98,149,102,82,69,67
ENSG00004937,67,155,69,125,114,166,74,157
ENSG00004938,72,42,22,54,29,46,80,8
ENSG00004939,63,63,124,131,83,116,56,113
ENSG00004940,1,0,2,0,2,5,0,3
ENSG00004941,809,1420,689,1071,749,1638,1199,858
ENSG00004942,0,1,0,1,0,0,0,0
ENSG00004943,2,2,11,4,2,9,5,9
ENSG00004944,66,243,106,81,171,212,125,131
ENSG00004945,10,51,13,21,30,14,28,24
ENSG00004946,3,1,2,5,0,0,1,7
ENSG00004947,34,111,45,98,31,109,34,70
ENSG00004948,27,22,7,9,8,5,19,6
ENSG00004949,1,2,0,2,0,0,1,3
ENSG00004950,34,92,94,70,56,83,47,85
ENSG00004951,154,369,387,293,302,395,563,491
ENSG00004952,158,165,341,217,307,609,216,434
ENSG00004953,27,51,46,32,11,28,35,34
ENSG00004954,1,5,2,1,3,5,0,2
ENSG00004955,274,343,125,338,215,342,91,173
ENSG00004956,437,195,170,370,302,217,235,300
ENSG00004957,0,4,1,2,4,1,1,1
ENSG00004958,3585,8348,3145,3406,5941,8286,7407,6362
ENSG00004959,147,63,66,54,97,103,55,80
ENSG00004960,22,19,23,15,20,53,9,43
ENSG00004961,16,16,18,49,19,25,15,4
ENSG00004962,1,4,1,2,5,1,10,15
ENSG00004963,4,27,8,21,11,26,7,4
ENSG00004964,0,2,0,1,1,1,0,0
ENSG00004965,886,851,417,615,661,926,535,528
ENSG00004966,3,0,0,0,0,0,0,0
ENSG00004967,0,0,1,0,0,2,1,0
ENSG00004968,41,65,23,40,39,63,11,19
ENSG00004969,369,420,244,529,443,320,459,362
ENSG00004970,93,51,205,229,168,101,194,76
ENSG00004971,11,20,31,20,9,11,15,33
ENSG00004972,5,2,4,9,3,10,2,13
ENSG00004973,23,9,17,11,39,9,17,17
ENSG00004974,3153,3956,2336,2278,3579,3641,1726,4337
ENSG00004975,0,0,0,1,0,0,0,3
ENSG00004976,529,649,607,918,583,851,515,774
ENSG00004977,5853,10944,3274,3947,7301,5836,3979,4998
ENSG00004978,496,254,268,474,290,276,268,216
ENSG00004979,139,66,55,35,31,36,44,17
ENSG00004980,49,67,58,59,57,30,61,59
ENSG00004981,81,147,46,133,28,30,46,70
ENSG00004982,36,6,8,32,12,31,5,19
ENSG00004983,15,6,18,7,4,6,6,17
ENSG00004984,77,48,42,21,84,81,65,88
ENSG00004985,88,55,79,60,63,106,78,58
ENSG00004986,1,1,0,0,0,1,0,1
ENSG00004987,25,47,60,66,94,18,35,40
ENSG00004988,17,44,2,22,8,7,2,11
ENSG00004989,684,1196,598,1090,850,847,1244,947
ENSG00004990,255,195,290,207,226,263,309,350
ENSG00004991,88,74,290,87,157,105,185,394
ENSG00004992,53,68,88,44,23,53,75,78
ENSG00004993,910,1176,1442,1235,742,802,778,986
ENSG00004994,1,1,1,1,1,0,0,0
ENSG00004995,7653,2665,3854,4593,3379,5610,9351,2360
ENSG00004996,1,0,0,1,2,2,1,0
ENSG00004997,197,399,389,601,260,187,323,525
ENSG00004998,253,286,117,190,193,336,125,192
ENSG00004999,3,15,1,5,11,15,17,9
ENSG00005000,7,6,4,6,11,4,1,3
ENSG00005001,76,89,33,93,55,117,82,63
ENSG00005002,162,154,64,69,131,50,146,108
ENSG00005003,1511,1952,1913,2177,2010,3612,1909,1601
ENSG00005004,1,8,6,13,3,5,1,4
ENSG00005005,367,139,148,116,146,50,58,102
ENSG00005006,25,29,12,6,77,53,47,16
ENSG00005007,9,3,2,7,5,1,2,5
ENSG00005008,433,545,472,395,367,466,283,292
ENSG00005009,126,138,49,72,99,82,112,29
ENSG00005010,62,189,132,192,120,204,125,223
ENSG00005011,3004,2612,3108,2054,2446,3461,2067,1627
ENSG00005012,2,0,1,0,1,1,2,1
ENSG00005013,104,152,68,105,75,174,108,53
ENSG00005014,46,47,63,17,27,27,70,37
ENSG00005015,216,151,188,174,135,178,167,260
ENSG00005016,2,3,1,3,2,2,3,5
ENSG00005017,197,195,296,243,225,581,496,149
ENSG00005018,62,40,66,57,98,81,70,32
ENSG00005019,0,0,0,0,0,4,0,1
ENSG00005020,250,506,451,312,327,145,385,556
ENSG00005021,29,36,13,8,26,45,48,61
ENSG00005022,385,358,190,398,265,427,406,438
ENSG00005023,13,75,23,39,34,24,28,29
ENSG00005024,0,6,7,10,3,7,4,22
ENSG00005025,9,6,7,1,4,5,0,6
ENSG00005026,4,8,6,6,10,8,3,13
ENSG00005027,122,75,35,153,57,253,53,235
ENSG00005028,1,17,14,28,12,10,7,15
ENSG00005029,15,11,10,45,17,21,18,24
ENSG00005030,14,15,7,21,24,29,26,20
ENSG00005031,22,38,11,6,5,22,45,20
ENSG00005032,21,51,13,43,53,94,35,33
ENSG00005033,46,56,35,79,42,27,50,112
ENSG00005034,22,93,55,67,80,68,29,69
ENSG00005035,2563,3224,2735,2536,2146,1975,2011,1977
ENSG00005036,6,7,6,2,1,7,9,3
ENSG00005037,202,455,338,173,115,551,273,127
ENSG00005038,2,3,5,0,8,2,4,1
ENSG00005039,0,11,2,5,10,12,10,7
ENSG00005040,24,23,97,33,24,27,13,45
ENSG00005041,6,53,27,7,18,13,21,12
ENSG00005042,166,93,140,57,30,153,117,86
ENSG00005043,1,2,4,1,0,0,0,0
ENSG00005044,4,17,4,16,21,30,11,20
ENSG00005045,16,18,25,24,22,44,58,32
ENSG00005046,44,58,20,15,52,8,7,11
ENSG00005047,7,1,5,4,1,2,0,5
ENSG00005048,15,11,3,14,25,15,6,14
ENSG00005049,363,279,186,271,41,423,181,341
ENSG00005050,2693,1693,962,2285,2128,1160,2321,1078
ENSG00005051,141,443,73,309,221,268,114,374
ENSG00005052,71,132,81,113,273,167,150,310
ENSG00005053,48,56,44,19,22,57,25,81
ENSG00005054,422,397,517,152,553,688,259,569
ENSG00005055,1041,655,745,430,828,521,516,596
ENSG00005056,18,16,5,5,5,21,2,15
ENSG00005057,21,11,8,25,10,17,11,25
ENSG00005058,1221,3048,1102,3386,1385,1810,1875,2012
ENSG00005059,243,472,443,459,449,344,561,749
ENSG00005060,240,161,138,289,542,330,275,306
ENSG00005061,126,118,111,219,60,101,149,38
ENSG00005062,5,10,5,18,3,15,23,10
ENSG00005063,27,30,11,24,48,20,13,10
ENSG00005064,204,140,136,182,60,328,85,249
ENSG00005065,446,1022,351,1096,680,601,882,588
ENSG00005066,403,223,429,1174,449,446,568,723
ENSG00005067,0,3,0,0,1,0,0,2
ENSG00005068,755,1221,2001,1778,916,723,991,1796
ENSG00005069,19,16,7,9,12,14,8,37
ENSG00005070,16,2,12,20,10,4,15,19
ENSG00005071,4,3,0,4,1,0,2,1
ENSG00005072,115,145,174,139,103,250,100,158
ENSG00005073,22,69,36,13,12,5,10,29
ENSG00005074,142,305,145,70,142,186,318,201
ENSG00005075,54,78,81,71,61,20,43,16
ENSG00005076,1260,601,687,502,1269,1180,632,1336
ENSG00005077,1680,1108,725,1298,1012,1808,710,2271
ENSG00005078,109,91,288,196,136,172,206,567
ENSG00005079,4435,3675,4672,2815,7718,6020,4695,7682
ENSG00005080,41,33,21,67,43,33,72,84
ENSG00005081,73,55,61,58,35,37,69,58
ENSG00005082,320,238,190,302,386,367,291,394
ENSG00005083,70,67,186,108,96,253,92,130
ENSG00005084,4,1,3,5,6,5,14,5
ENSG00005085,85,52,16,26,32,19,21,37
ENSG00005086,49,21,27,7,37,29,9,27
ENSG00005087,17,28,13,57,11,7,24,17
ENSG00005088,7964,13159,4637,4169,9645,8332,4343,14732
ENSG00005089,82,217,165,162,131,48,210,139
ENSG00005090,6,1,5,7,5,10,1,16
ENSG00005091,32,99,28,32,35,34,56,41
ENSG00005092,9,41,5,31,7,17,14,30
ENSG00005093,52,50,38,28,28,31,56,71
ENSG00005094,11,14,25,22,38,12,15,18
ENSG00005095,33,82,21,51,26,87,34,15
ENSG00005096,232,145,82,146,95,143,171,158
ENSG00005097,107,163,157,104,69,219,45,116
ENSG00005098,94,38,24,48,29,69,70,67
ENSG00005099,44,90,42,24,47,59,58,86
ENSG00005100,4,0,0,0,0,1,0,0
ENSG00005101,0,9,0,2,3,8,5,1
ENSG00005102,4,0,0,1,1,0,0,0
ENSG00005103,569,545,405,391,285,382,807,593
ENSG00005104,193,149,43,114,97,139,137,124
ENSG00005105,0,1,0,1,1,0,1,0
ENSG00005106,2,3,0,3,2,3,0,3
ENSG00005107,41,81,35,33,21,40,26,45
ENSG00005108,497,230,261,351,408,617,240,914
ENSG00005109,1058,733,1058,976,1692,1343,1552,1834
ENSG00005110,159,251,219,214,145,153,122,267
ENSG00005111,131,123,127,157,126,118,367,455
ENSG00005112,6,1,1,0,3,3,1,2
ENSG00005113,22,42,49,51,40,54,16,20
ENSG00005114,1,1,2,1,2,0,2,1
ENSG00005115,8,4,5,3,0,33,14,3
ENSG00005116,1,2,1,3,2,2,1,1
ENSG00005117,594,371,539,454,364,372,197,661
ENSG00005118,87,22,46,16,13,19,58,61
ENSG00005119,2,0,0,1,0,0,0,0
ENSG00005120,1376,2415,756,2022,2588,2208,2232,3187
ENSG00005121,3,1,0,0,0,0,1,0
ENSG00005122,3917,5107,7119,4316,5008,3340,5191,5951
ENSG00005123,473,1163,1443,730,627,857,632,473
ENSG00005124,392,565,539,372,686,515,509,793
ENSG00005125,511,343,470,255,521,628,394,806
ENSG00005126,157,141,62,142,557,542,201,244
ENSG00005127,4803,6652,3919,5314,3776,5095,3356,4929
ENSG00005128,154,180,115,112,76,192,312,162
ENSG00005129,29689,15169,25029,14638,15098,32130,16184,19511
ENSG00005130,1,0,0,3,0,0,0,1
ENSG00005131,32,17,55,90,29,54,32,33
ENSG00005132,518,722,1536,847,453,578,979,1232
ENSG00005133,2,1,0,0,1,0,3,0
ENSG00005134,221,168,332,278,108,187,209,207
ENSG00005135,1204,879,1232,1447,1711,766,1947,1457
ENSG00005136,187,157,219,282,403,205,242,450
ENSG00005137,1789,2378,1333,3601,1601,2721,1333,1451
ENSG00005138,68,87,56,51,81,59,41,137
ENSG00005139,391,530,300,262,267,329,357,266
ENSG00005140,29,46,20,16,15,12,41,12
ENSG00005141,2,0,5,0,1,1,2,6
ENSG00005142,1,4,3,1,1,1,0,0
ENSG00005143,15,5,5,40,15,10,18,5
ENSG00005144,5,1,2,2,5,4,1,4
ENSG00005145,4,4,2,4,1,2,10,1
ENSG00005146,2030,2190,1383,1284,1449,1625,1773,2543
ENSG00005147,2,4,2,0,4,1,9,4
ENSG00005148,4,5,2,6,2,3,2,7
ENSG00005149,6,3,4,6,1,13,12,21
ENSG00005150,15,29,30,9,19,7,11,8
ENSG00005151,132,134,117,81,69,90,124,57
ENSG00005152,3763,2074,2725,4560,3699,1947,3218,3609
ENSG00005153,15,2,8,8,9,20,5,9
ENSG00005154,1535,1021,1546,1256,808,1286,2546,2317
ENSG00005155,3750,8816,2595,7485,2847,6722,6807,9792
ENSG00005156,17,37,23,4,16,12,26,9
ENSG00005157,9,28,41,53,20,15,17,17
ENSG00005158,1349,1082,603,1124,810,532,1216,895
ENSG00005159,11,2,26,10,18,26,1,11
ENSG00005160,0,0,0,1,0,0,0,0
ENSG00005161,147,264,118,90,134,99,194,129
ENSG00005162,265,416,432,250,500,276,418,433
ENSG00005163,5,1,0,0,0,2,0,0
ENSG00005164,0,1,5,2,5,0,3,3
ENSG00005165,70,113,80,287,196,145,116,71
ENSG00005166,207,233,324,289,426,131,241,417
ENSG00005167,239,502,243,317,914,663,403,435
ENSG00005168,378,542,582,378,582,287,461,489
ENSG00005169,34,126,33,66,152,56,86,105
ENSG00005170,635,129,254,306,105,299,125,269
ENSG00005171,257,449,184,511,350,379,253,432
ENSG00005172,686,1019,1600,1134,465,1227,917,936
ENSG00005173,36,23,24,3,24,20,5,35
ENSG00005174,3,23,7,9,2,5,10,3
ENSG00005175,1,0,0,0,0,1,1,0
ENSG00005176,34,51,28,33,64,24,23,24
ENSG00005177,490,225,249,322,432,404,412,315
ENSG00005178,184,210,195,341,78,158,139,327
ENSG00005179,0,2,0,0,1,1,0,0
ENSG00005180,4430,4982,4563,4355,3754,2198,4144,5211
ENSG00005181,30676,31743,9876,15367,29979,22404,28167,28897
ENSG00005182,2,5,8,2,1,5,20,4
ENSG00005183,8,8,23,19,2,17,8,19
ENSG00005184,36,76,24,54,25,42,44,76
ENSG00005185,6,3,1,7,6,12,6,21
ENSG00005186,64,8,40,12,25,28,31,33
ENSG00005187,56,92,54,54,30,67,47,39
ENSG00005188,1694,5468,5888,2940,3317,2211,7381,4751
ENSG00005189,25,49,44,33,31,25,10,9
ENSG00005190,337,299,557,241,384,546,473,758
ENSG00005191,6,14,3,27,12,10,7,14
ENSG00005192,390,467,394,577,386,577,239,282
ENSG00005193,410,658,573,569,211,381,176,596
ENSG00005194,579,946,956,976,1137,1156,1056,597
ENSG00005195,13,6,1,6,5,8,3,6
ENSG00005196,1067,546,739,779,1067,676,1037,748
ENSG00005197,37,29,47,74,55,45,72,51
ENSG00005198,118,161,209,207,112,352,98,93
ENSG00005199,0,0,0,1,0,0,1,0
ENSG00005200,890,402,457,446,405,783,547,818
ENSG00005201,465,437,223,503,394,458,288,551
ENSG00005202,146,88,64,164,47,157,78,100
ENSG00005203,3,4,0,0,5,2,0,10
ENSG00005204,13,8,8,8,13,20,23,11
ENSG00005205,748,421,863,258,526,426,545,771
ENSG00005206,3043,7713,3024,6279,3013,6826,8454,3443
ENSG00005207,13,15,16,2,6,5,3,7
ENSG00005208,176,107,120,169,151,176,140,131
ENSG00005209,8,9,2,0,1,2,2,8
ENSG00005210,551,704,460,543,784,1171,747,855
ENSG00005211,9,1,2,5,2,6,3,2
ENSG00005212,33,73,14,13,24,58,29,83
ENSG00005213,1,1,0,2,4,0,1,0
ENSG00005214,214,571,232,259,251,279,404,267
ENSG00005215,647,1256,968,1029,782,665,843,1385
ENSG00005216,23,35,48,46,24,55,10,35
ENSG00005217,176,159,76,99,235,135,179,149
ENSG00005218,44,93,64,102,122,141,98,132
ENSG00005219,131,294,93,214,64,112,56,296
ENSG00005220,15,7,2,2,13,3,4,6
ENSG00005221,8,10,1,5,4,4,12,9
ENSG00005222,1,0,1,2,1,0,0,0
ENSG00005223,6,3,0,0,0,3,1,0
ENSG00005224,299,228,158,316,205,154,145,83
ENSG00005225,294,463,213,351,459,441,395,549
ENSG00005226,9,15,0,10,2,10,5,20
ENSG00005227,914,634,634,896,506,609,501,2151
ENSG00005228,216,90,113,27,92,110,163,117
ENSG00005229,14843,16940,17731,21584,11534,20796,18063,14075
ENSG00005230,1,0,2,0,0,1,6,2
ENSG00005231,438,593,339,548,261,488,547,467
ENSG00005232,2,0,1,0,1,0,0,1
ENSG00005233,19,50,23,37,21,45,16,22
ENSG00005234,174,382,539,289,458,616,620,560
ENSG00005235,60,45,29,27,27,23,34,61
ENSG00005236,9384,3159,5333,5597,6229,4725,5948,8205
ENSG00005237,10,11,3,14,18,19,14,5
ENSG00005238,93,185,195,96,82,50,107,199
ENSG00005239,27,18,5,5,7,11,35,33
ENSG00005240,2,8,4,9,2,11,6,1
ENSG00005241,1,0,0,1,0,0,0,3
ENSG00005242,236,327,266,347,253,235,243,211
ENSG00005243,0,0,0,0,0,2,1,0
ENSG00005244,5484,7589,5001,6700,8952,7737,4293,7583
ENSG00005245,2,1,0,0,1,0,2,0
